Food_group,Item,Final Call,Rationale
Dry fruits & nuts,Almond,Take,Increases Lactobacillus
Fruits,Apple,Take,"Increases Lactobacillus, Increases Dorea"
Fruits,Avocado,Avoid,Increases Faecalibacterium
Fruits,Banana,Avoid,Increases Bacteroides
Fruits,Berries,Take,Increases Lactobacillus
Fruits,Berries’ polyphenols,,
Others,Black Tea,Take,"Decreases Bacteroides, Increases Lactobacillus"
Others,Carrot,Avoid,"Increases Bacteroides, Decreases Ruminococcus"
Seeds,Chia,Take,Increases Lactobacillus
Others,Chokeberry,Avoid,Increases Bacteroides
Milk & milk products,Conventional soy milk (26.5% β-conglycinin/38.7% glycinin),Avoid,Decrease Lactobacillus
Spices,Curcumin,Avoid,"Increases Bacteroides, Decreases Ruminococcus"
Milk & milk products,Fermented soy milk,Avoid,Nutritional Balance
Seeds,Flax Seeds,Take,Decreases Faecalibacterium
Fruits,Grapes,Take,Increases Ruminococcus
Others,Green Tea,Take,"Decreases Bacteroides, Increases Lactobacillus"
Others,Guar gum,Take,"Decreases Streptococcus, Increases Lactobacillus"
Others,Honey,Take,Increases Lactobacillus
Grains,Jowar,Take,Increases Lactobacillus
Others,Kefir,Avoid,Increases Fusicatenibacter
Fruits,Kiwi Fruit Powder,Take,Increases Dorea
Milk & milk products,Low glycinin soy milk (49.5% β-conglycinin/6% glycinin),Avoid,Increase Faecalibacterium
Grains,Moong,Take,"Increases Lactobacillus, Increases Ruminococcus"
Others,Oolong Tea,Take,"Decreases Bacteroides, Increases Lactobacillus"
Others,Orange Juice,Take,Increases Parabacteroides
Fruits,Papaya,Avoid,Increases Bacteroides
Fruits,Pomegranate,Take,Increases Lactobacillus
Others,Psyllium,Avoid,Increases Faecalibacterium
Dry fruits & nuts,Raisin,Take,Increases Ruminococcus
Dry fruits & nuts,Raisins,Take,Increases Ruminococcus
Others,Red wine,Avoid,Increase Bacteroides
Others,Red wine polyphenols,Avoid,Increases Bacteroides
Milk & milk products,Regular soy milk,Avoid,Nutritional Balance
Others,Soy isoflavones,Avoid,Nutritional Balance
Grains,White rice,Avoid,Increases Faecalibacterium
Vegetables,mango peel and paste,Take,"Increases Lactobacillus, Increases Dorea"
Grains,Ragi,Take,Increases Ruminoccocus
Grains,Wheat,Take,Increases Ruminoccocus
Grains,Refined flour,Avoid,Nutritional Balance
Grains,Corn flour,Avoid,Nutritional Balance
Grains,Amaranth,Avoid,Nutritional Balance
Grains,Quinoa,Take,Increases Ruminoccocus
