Food_group,Item,Final Call,Rationale
Dry fruits & nuts,Almond,Avoid,Increases Lactobacillus
Fruits,Apple,Take,
Fruits,Banana,Avoid,Nutritional Balance
Fruits,Berries,Avoid,Increases Lactobacillus
Fruits,Berries’ polyphenols,Avoid,Increases Lactobacillus
Others,Black Tea,Avoid,"Increases Lactobacillus, Increases Enterococcus"
Grains,Brown rice,Avoid,Decreases Anaerostipes
Vegetables,Carrot,Avoid,Decreases Ruminococcus
Seeds,Chia,Avoid,"Increases Lactobacillus, Increases Enterococcus"
Others,Chicory,Take,Increases Anaerostipes
Others,Chokeberry,Take,Increases Anaerostipes
Milk & milk products,Conventional soy milk (26.5% β-conglycinin/38.7% glycinin),Take,Decrease Lactobacillus
Spices,Curcumin,Avoid,"Increases Enterococcus, Increases Citrobacter, Decreases Ruminococcus"
Others,Dealcoholized red wine,Avoid,Increase Enterococcus
Milk & milk products,Fermented soy milk,Avoid,Increase Lactobacillus
Spices,Garlic,Take,Increases Anaerostipes
Fruits,Grapes,Take,Increases Ruminococcus
Others,Green Tea,Avoid,"Increases Lactobacillus, Increases Enterococcus"
Others,Guar gum,Avoid,Increases Lactobacillus
Others,Honey,Avoid,Increases Lactobacillus
Grains,Jowar,Avoid,Increases Lactobacillus
Others,Kefir,Avoid,Increases Fusicatenibacter
Fruits,Kiwi Fruit Powder,Take,Increases Dorea
Vegetables,Leek,Take,Increases Anaerostipes
Grains,Moong,Avoid,"Increases Lactobacillus, Increases Prevotella, Increases Enterococcus"
Others,Oolong Tea,Avoid,"Increases Lactobacillus, Increases Enterococcus"
Others,Orange Juice,Take,
Fruits,Pomegranate,Avoid,Increases Lactobacillus
Dry fruits & nuts,Raisin,Take,"Decreases Prevotella, Increases Ruminococcus"
Dry fruits & nuts,Raisins,Take,"Decreases Prevotella, Increases Ruminococcus"
Others,Red wine,Avoid,"Increase Prevotella, Increase Enterococcus"
Others,Red wine polyphenols,Avoid,"Increases Prevotella, Increases Enterococcus"
Milk & milk products,Regular soy milk,Avoid,Increase Lactobacillus
Others,Soy isoflavones,Avoid,"Increase Lactobacillus, Increase Enterococcus"
Dry fruits & nuts,Walnut,Avoid,Decreases Anaerostipes
Grains,Wheat,Take,Increases Anaerostipes
Grains,Wheat Bran,Avoid,Decreases Anaerostipes
Vegetables,mango peel and paste,Avoid,
Grains,Ragi,Take,"Increases Ruminococcus, Anaerostipes"
Grains,Refined flour,Avoid,Nutritional Balance
Grains,Corn flour,Avoid,Nutritional Balance
Grains,Quinoa,Take,"Increases Ruminococcus, Anaerostipes"
Grains,Chickpea,Avoid,Nutritional Balance
Grains,Kidney beans,Avoid,Nutritional Balance
Grains,Horse gram,Take,Increases Anaerostipes
Grains,Lentils,Take,"Increases Anaerostipes, Bifidobacterium"
Grains,Masoor dal,Take,Increases Anaerostipes
Grains,Toor dal ,Avoid,Nutritional Balance
Fruits,Pear,Take,Increases Ruminococcus
Fruits,Guava,Take,Increases Ruminococcus
Fruits,Orange,Take,Increases Ruminococcus
Fruits,Persimmons,Avoid,Nutritional Balance
Fruits,Goose berry,Take,Nutritional Balance
Fruits,Custard apple,Avoid,Nutritional Balance
Fruits,Mango ripe,Avoid,Nutritional Balance
Fruits,Jackfruit,Avoid,Nutritional Balance
Fruits,Muskmelon,Take,Increases Ruminococcus
Vegetables,Tomato,Take,Increases Ruminococcus
Vegetables,Onion,Take,"Increases Ruminococcus, Anaerostipes"
Vegetables,cooked & cooled Potato,Avoid,Nutritional Balance
Vegetables,Sweet potato,Avoid,Nutritional Balance
Vegetables,Unripe banana,Avoid,Nutritional Balance
Vegetables,Broccoli,Avoid,Decrease Fusicanternibacter
Vegetables,Beans,Take,Increases Bifidobacterium
Vegetables,Spinach,Take,Increases Ruminococcus
Vegetables,Drumstick,Take,Increases Ruminococcus
Vegetables,Beetroot,Avoid,Nutritional Balance
Vegetables,Asparagus,Take,Increases Ruminococcus
Vegetables,Cauliflower,Avoid,Decrease Fusicanternibacter
Vegetables,Okra,Take,Increases Ruminococcus
Vegetables,Bottle gourd,Take,Increases Ruminococcus
Vegetables,Brinjal,Take,Increases Ruminococcus
Vegetables,Pumpkin ,Avoid,Nutritional Balance
Dry fruits & nuts,Cashews,Avoid,Nutritional Balance
Dry fruits & nuts,Dates,Avoid,Nutritional Balance
Dry fruits & nuts,Dried apricot,Take,Nutritional Balance
Dry fruits & nuts,Fig,Take,Nutritional Balance
Seeds,Sesame seeds,Take,Nutritional Balance
Seeds,Fenugreek seeds,Take,Nutritional Balance
Seeds,Cumin seeds,Take,Nutritional Balance
Seeds,Mustard seeds,Avoid,Nutritional Balance
Spices,Cinnamon,Take,Nutritional Balance
Spices,Cardamom,Take,Nutritional Balance
Spices,Red Chili powder,Avoid,Nutritional Balance
Spices,Garam masala,Avoid,Nutritional Balance
Spices,Ginger,Take,Nutritional Balance
Meat,Egg,Avoid,Nutritional Balance
Meat,Fish ,Avoid,Nutritional Balance
Meat,Chicken,Avoid,Nutritional Balance
Meat,Mutton,Avoid,Nutritional Balance
Meat,Beef,Avoid,Nutritional Balance
Meat,Pork,Avoid,Nutritional Balance
Others,White sugar,Avoid,Nutritional Balance
Others,Jaggery,Avoid,Nutritional Balance
Others,Chamomile tea,Take,Nutritional Balance
Others,Foxnuts,Take,Nutritional Balance
Others,Soya chunks,Take,Nutritional Balance
