#OTU ID,Bacteria Tag 1 in Report,Positive Impact,Bacteria Tag 2 in Report,Bacteria Tag 3 in Report,Bacteria Type In Paper,Bacteria Type in Paper,Metabolites/SCFAs,Others,,,,
[Eubacterium]_coprostanoligenes_group,Cholesterol Metaboliser,Yes,,,Cholesterol Metaboliser,,,,,,,
[Ruminococcus]_gnavus_group,Dietary Fibre Degrader,Yes,,,Dietary Fibre Degrader,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10112845/,,,
[Ruminococcus]_gnavus_group,Insulin Metabolism,No,,,,,,,,,,
[Ruminococcus]_gnavus_group,Insulin Metabolism,No,,,,,,,,,,
Acidaminococcus,Carbohydrate Fermenter,Yes,,,Carbohydrate Fermentation,Vitamin Synthesis,,,"https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/acidaminococcus#:~:text=This%20includes%20(i)%20synthesis%20of,and%20enterohepatic%20circulation%20of%20xenobiotics%2C%20(",,,
Acidaminococcus,Nutrient Synthesis,Yes,,,,,,,,,,
Actinomyces,Protein Metabolism,Yes,,,,,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352118/#:~:text=Protein%20fermentation%20by%20gut%20microbiota,gut%20and%20in%20systemic%20circulation.",,,,
Agathobacter,Dietary Fibre Degrader,Yes,,,Plant Fibre Fermenter,,,https://link.springer.com/article/10.1007/s00253-021-11627-x,,,,
Akkermansia,Immunity,Yes,,,Probiotic,Mucin Degrador,,,,,,
Akkermansia,Gut Function,Yes,,,,,,,,,,
Akkermansia,Probiotic,Yes,,,,,,,,,,
Alistipes,Protein Metabolism,Yes,Carbohydrate Fermenter,,Protein Fermenter,"Complex Carbohydrates Fermenter, BMI Impactor","Acetate, propionate, and butyrate",,,,,
Alistipes,Carbohydrate Fermenter,Yes,,,,,,,,,,
Alistipes,Weight Influencer,No,,,,,,,,,,
