#OTU ID,IOM032FX101024,Optimal_Abundance,Change_Diff,Energy,Sleep,Stress,Labels,Positive Impact
Lactobacillus,21.33,24.81,3.48,0.0,1.0,1.0,Insulin Metabolism,No
Lactobacillus,21.33,24.81,3.48,0.0,1.0,1.0,Lactic Acid Producer,Yes
Lactobacillus,21.33,24.81,3.48,0.0,1.0,1.0,Probiotic,Yes
Bifidobacterium,21.18,24.91,3.73,1.0,1.0,1.0,Immunity,Yes
Bifidobacterium,21.18,24.91,3.73,1.0,1.0,1.0,Insulin Metabolism,No
Bifidobacterium,21.18,24.91,3.73,1.0,1.0,1.0,Lactic Acid Producer,Yes
Bifidobacterium,21.18,24.91,3.73,1.0,1.0,1.0,Probiotic,Yes
Bacteroides,7.17,3.7,-3.47,0.0,0.0,-2.0,Protein Metabolism,Yes
Escherichia-Shigella,5.49,5.49,0.0,,,,Pathogen,Yes
Escherichia-Shigella,5.49,5.49,0.0,,,,Protein Metabolism,Yes
Escherichia-Shigella,5.49,5.49,0.0,,,,Insulin Metabolism,No
Streptococcus,5.23,2.0,-3.23,0.0,0.0,1.0,Immunity,Yes
Streptococcus,5.23,2.0,-3.23,0.0,0.0,1.0,Lactic Acid Producer,Yes
Streptococcus,5.23,2.0,-3.23,0.0,0.0,1.0,Insulin Metabolism,No
[Eubacterium]_eligens_group,4.97,0.15,-4.82,,,,Immunity,Yes
Megasphaera,4.84,0.53,-4.31,,,,Dietary Fibre Degrader,Yes
Megasphaera,4.84,0.53,-4.31,,,,Insulin Metabolism,No
Faecalibacterium,4.36,4.04,-0.32,5.0,3.0,1.0,Dietary Fibre Degrader,Yes
Faecalibacterium,4.36,4.04,-0.32,5.0,3.0,1.0,Energy Producers,Yes
no_genus,2.78,0.17,-2.61,,,,,
Lachnospiraceae_NK4A136_group,2.45,0.15,-2.3,,,,Weight Influencer,Yes
Monoglobus,2.23,0.15,-2.08,,,,,
Olsenella,1.88,0.17,-1.71,,,,,
Roseburia,1.41,4.7,3.29,3.0,0.0,1.0,Insulin Metabolism,No
Roseburia,1.41,4.7,3.29,3.0,0.0,1.0,Weight Influencer,No
Roseburia,1.41,4.7,3.29,3.0,0.0,1.0,Energy Producers,Yes
Acidaminococcus,1.35,0.45,-0.9,0.0,1.0,0.0,Carbohydrate Fermenter,Yes
Acidaminococcus,1.35,0.45,-0.9,0.0,1.0,0.0,Nutrient Synthesis,Yes
Ruminococcus,1.34,5.05,3.71,2.0,1.0,1.0,Insulin Metabolism,No
Subdoligranulum,1.3,0.45,-0.85,1.0,0.0,0.0,Heart Health Influencer,Yes
Butyricicoccus,1.05,0.05,-1.0,0.0,0.0,-1.0,,
Collinsella,0.82,0.81,-0.01,1.0,0.0,0.0,,
Klebsiella,0.62,0.62,0.0,0.0,-2.0,0.0,Pathogen,Yes
Klebsiella,0.62,0.62,0.0,0.0,-2.0,0.0,Protein Metabolism,Yes
